 xx就要多读书-,还掉色  我的滤镜撑不下去了  不！搞！丑！的！//@开光佛珠_ :成功教育大家一胖毁所有
99年的老油条,?迟到的生日快乐? ！！我大洋文and?警院男女排? ?
aaaa_千,粉丝的感情纯粹一些，少一分不行，多一分越界追星很快乐，但从现在开始！少一点真情实感！同样的事情我不想再经历第二遍 ?
ababy院长大人,//@江南大野花:笑死  产粮大户//@刘码露:这才只播了区区两天，下周一二三每天加播两集，我好累又好快乐。//@翛翛者何:害！我刚去突击检查了下，截止23点30分，投稿日期为6月30日的陈情令视频有854个，陈总实红
ABC别想太多,不管我多么硬，都不得不低头。我好恨啊，我的心里有两个声音，一个是真的受够了，不如趁早快刀斩乱麻，一个是再坚持坚持，坚信老天只是在考验我，撑下去。就和卡了蛋一样，动一下疼一时，不动那就持续疼。 ?
ABC别想太多,不管我多么硬，都不得不低头。我好恨啊，我的心里有两个声音，一个是真的受够了，不如趁早快刀斩乱麻，一个是再坚持坚持，坚信老天只是在考验我，撑下去。就和卡了蛋一样，动一下疼一时，不动那就持续疼。 ?
AcE_KIANN,有些事情明明是自己不喜欢的，还尝试去接受。有些情绪明明是当下需要顾虑的，却没能被安抚。最难改变的明明就是人，为何还要留有希望。? 人是最矛盾的，然而持之以恒的快乐，其实来源于自己的心态呐。 ?
AfterThen-,六月变成七月叫跨半年钱总生日快乐啦大家都心想事成噢 ?
Aimeego,身体和耐心都快到临界点…要撑不下去了 ?
Aimeego,身体和耐心都快到临界点…要撑不下去了 ?
akat中華包,我来无脑吹了：冨冈义勇还是绝美男人的，都极限了却撑住不睡下去，安安静静帮炭炭包扎伤口还关心伤势，冨冈义勇不是喜欢灶门炭治郎我把头拧下来当球踢（） ?
AlexBe巛n-_827,"想起小时候吃冰棍的感觉,突然发现,似乎再也找不到那种简单的快乐了。 ?"
Alienation_TaDa·,我得睡了!头真的要秃了明天我的快乐要来辽2333GN! ?
ALIMMYKUN,不要再答应垃圾了//@回忆专用小马甲:想要快乐? ? //@花泽美美:好好赚钱！别想有的没的? //@M大王叫我来巡山:想要的都拥有，得不到的都释怀//@苍南派:快乐工作快乐生活//@雨玲玲zjl:愿自己的努力不负自己的期望//@ali_thin:求你减肥//@Tiger公子:别再生病了
Allen-Chenrr,生日快乐我的@林宥嘉YogaLin ?
Allvww,这几天一直在调节自己，但是失败了，快撑不下去了。 ?
Allvww,这几天一直在调节自己，但是失败了，快撑不下去了。 ?
Amblin_Yao,迟到的生日快乐
Angel34724,我承认我过得一点也不好 很多时候真的都要熬不下去 快要崩溃了 我不知道哪儿有这么多压力 改变的失去的都太多了 好多事情真的接受不了 但我也无力抗拒 只能哭完了再爬起来老老实实继续走下去 这辈子从来就没坚强过 大小坎都是死撑过去 ?
Angel34724,我承认我过得一点也不好 很多时候真的都要熬不下去 快要崩溃了 我不知道哪儿有这么多压力 改变的失去的都太多了 好多事情真的接受不了 但我也无力抗拒 只能哭完了再爬起来老老实实继续走下去 这辈子从来就没坚强过 大小坎都是死撑过去 ?
Anna玉儿,我们都要有坚持下去的理由
Anna玉儿,我们都要有坚持下去的理由
Arri_eleven,#高集酒窝清和# 「我……我真的撑不下去了。」她啜泣着把脸埋进了双手，我拍着她的肩膀鼓励她：「你一定要撑下去啊！难道你忘了开始时我俩一起许下的誓言了么？这可是300一个人的自助餐啊！」是故三阴之离合也，太阴为开， ?
ATsurreal,每一张专辑都不知反复听了多少遍，连我自己都数不清，1989和reputation陪我度过了我最难受快要撑不下去的时候，red和speak now陪我度过了最无忧无虑的时候，fearless里穿着长裙的公主们是我对女孩子的美好定义。。。这一切一切都太珍贵，而现在这些漂亮的孩子们要被抢走，看到这张图我就绷不住
ATsurreal,每一张专辑都不知反复听了多少遍，连我自己都数不清，1989和reputation陪我度过了我最难受快要撑不下去的时候，red和speak now陪我度过了最无忧无虑的时候，fearless里穿着长裙的公主们是我对女孩子的美好定义。。。这一切一切都太珍贵，而现在这些漂亮的孩子们要被抢走，看到这张图我就绷不住
AT-独乐乐_865,#宋仲基否认宋慧乔出轨#初融夫妇祝你生日快乐#关晓彤917生日快乐#偷来的祝福 ?
Awesomelulu,我不能像以前一样沙雕了我不能像以前一样快乐了 ?
Bacchus财务IvanWu,转 // #天天快报# 《浙大博士跳江自杀：孩子，若你撑不下去，就看看这15张照片 !》但是生活不易，多少人每天睁开双眼便要咬牙撑过今日份的痛苦，可他们依然坚强。也想过一死了之，但看着周围疼爱自己的人，只有咬牙撑着 O微信扫一扫 下载天天快报客户端 ?
Benbee哩,//@吃瓜群众CJ:那么快就一年了//@我可以睡您吗:那个消防员撕心裂肺的哭声我也还记得。//@努力成为有猫阶级:我一直记得这个女孩，跳楼前对消防员说谢谢，可是她真的是撑不下去了，在她苦苦挣扎的那段黑暗时光里，根本等不到一句“抓了”
berryVanilla,生日快乐！
BEST_DZR,在觉得没有希望的时候，在撑不下去的时候，再坚持一下，再坚持一下，尽力到最后一刻，结果会超乎你的想象。永远不要放弃，直到最后一刻。 ?
Bettlerin,感觉快要撑不下去了 2杭州·IX_WOREK ?
Bevshyu-,求求你认真学习吧 好好努力 真的不要再玩了也不要在吃了真的很肥了但是一定要开心呜呜呜再难也要加油撑下去//@M大王叫我来巡山:想要的都拥有，得不到的都释怀//@苍南派:快乐工作快乐生活//@雨玲玲zjl:愿自己的努力不负自己的期望//@ali_thin:求你减肥//@Tiger公子:别再生病了
Bevshyu-,求求你认真学习吧 好好努力 真的不要再玩了也不要在吃了真的很肥了但是一定要开心呜呜呜再难也要加油撑下去//@M大王叫我来巡山:想要的都拥有，得不到的都释怀//@苍南派:快乐工作快乐生活//@雨玲玲zjl:愿自己的努力不负自己的期望//@ali_thin:求你减肥//@Tiger公子:别再生病了
blackwhite__whai,只要我不认怂你就没办法撂倒我。我要加油，撑下去，忍住上司的神经病
blackwhite__whai,只要我不认怂你就没办法撂倒我。我要加油，撑下去，忍住上司的神经病
BLUEBLUE997,快乐&赚钱//@辣条娘:不要怕 勇敢一点对自己好一点//@M大王叫我来巡山:想要的都拥有，得不到的都释怀//@苍南派:快乐工作快乐生活//@雨玲玲zjl:愿自己的努力不负自己的期望//@ali_thin:求你减肥//@Tiger公子:别再生病了
blueblueskyyy,最后还是在一起了虽然过程有点狗血 ，但是先试试看吧!还是会觉得总是比一直固步不前的好!如果有一天自己有一天在这段关系里撑不下去了，希望自己能有勇气走开，希望自己能是有所成长的，且不要过分伤心，不要贬低自己，要坚信自己值得被爱，是一个可爱的姑娘。也希望自己不要过分依赖，即使 ?  展开全文c
blueblueskyyy,最后还是在一起了虽然过程有点狗血 ，但是先试试看吧!还是会觉得总是比一直固步不前的好!如果有一天自己有一天在这段关系里撑不下去了，希望自己能有勇气走开，希望自己能是有所成长的，且不要过分伤心，不要贬低自己，要坚信自己值得被爱，是一个可爱的姑娘。也希望自己不要过分依赖，即使 ?  展开全文c
bobbyxiyolo,下半年我希望一切以学业为重吧高中三年都要好好努力尤其高一高二不能放松不希望到时候高三撑不下去反正好好学习天天向上头脑清醒行为端正就可以了 O2019你的下半年目标是什么，你都为此做过哪些计划呢？ ?
BOICE_Ho,啊！撑不下去了? ? ?  ?
BOICE_Ho,啊！撑不下去了? ? ?  ?
BombBon,//@用户不改名不行:喜欢小光的每一天我都能说是快乐的。因为他从来没有变过，一直就是人间温柔本身。//@可把你厉害了:是小乖
Boom_LD,#zxc668# 龙王的小儿子龙云略一思忖，提议道：“爹。要知，先休兵罢战，试试杨浩心意。至少”可以借此机会，让我将士稍作歇息。要不然，恐怕真的是撑不下去了。” ?
Boom_LD,#zxc668# 龙王的小儿子龙云略一思忖，提议道：“爹。要知，先休兵罢战，试试杨浩心意。至少”可以借此机会，让我将士稍作歇息。要不然，恐怕真的是撑不下去了。” ?
BuuuuuT___,我一直在追寻快乐# ?
BvHS9-孟浩然ana,"钱很重要，可以帮我们完成很多人生的梦想。但是人生真正的快乐有时和钱并没有太多的关系。我希望每个人都能快乐的赚钱,潇洒的花钱。但是觉不能做钱的奴隶。 ?"
candygigi000,下班快乐 2西安·鱼化寨地铁站 ?
CANNOT-HOLD-BACK,#0701夏目贵志生日快乐# 亲爱的夏目，我温柔的少年，愿世间所有美好都属于你，生日快乐
cby的小圈子,#电视剧水男孩# 「我……我真的撑不下去了。」她啜泣着把脸埋进了双手，我拍着她的肩膀鼓励她：「你一定要撑下去啊！难道你忘了开始时我俩一起许下的誓言了么？这可是300一个人的自助餐啊！」 ?
Cececelia_,我这两天心态真的有一点爆炸有一点受不了这样的生活了上这个周末班好不值得啊凭什么啊想想这么不值不要再来一次了绝对不要但是一点动力都没有没有那个信念支撑下去了好累啊还要撑三个月什么时候才能熬到头还有两个月不到了一点计划都没有提前考这么多天压力一下子又涌上来了怎么办才好啊要崩 ?  展开全文c
Cececelia_,我这两天心态真的有一点爆炸有一点受不了这样的生活了上这个周末班好不值得啊凭什么啊想想这么不值不要再来一次了绝对不要但是一点动力都没有没有那个信念支撑下去了好累啊还要撑三个月什么时候才能熬到头还有两个月不到了一点计划都没有提前考这么多天压力一下子又涌上来了怎么办才好啊要崩 ?  展开全文c
ChanChiLam,12月份刚喜欢上声入人心1月份正式入坑回想一下我发现我真怀念那个时候那时候还没那么多乱七八糟的人和事那时候的氛围很开心很快乐开开心心地去评论他们听他们唱歌看他们表演看他们在评论区开玩笑但是到了后来什么乌烟瘴气都涌了进来以前很平常可以开的玩笑现在被人说不尊重还要被教育随时随 ?  展开全文c
Charon527-,要快乐 要开心 要勇敢 要温柔 要坚强 要被宠爱 ?
Chita的菲利斯宝宝,袁咏仪 美靓旅游快乐 晚安?  ?
Chor2hze,曾因为和他在一起很快乐 点了很多民谣的红心 又因为和他在一起渐渐变得不快乐 点了很多后摇的红心 也许很多都是我的问题 我从不是个乐观的 适合恋爱的女孩 但我也许也恨他不是个适合恋爱的男孩至今我才慢吞吞地发现 他与我之间只是起初剧烈的吸引 我们其实是同样的人 忧郁 凶狠 固执 洒脱 我们的快乐 ?  展开全文c
Cibudayiyiyi,七月才开始暑假的第一天就有点撑不下去感觉整个人精疲力尽心力交瘁有时候可以的话真的真的不想这么累 ???
Cibudayiyiyi,七月才开始暑假的第一天就有点撑不下去感觉整个人精疲力尽心力交瘁有时候可以的话真的真的不想这么累 ???
clairesharo,感谢认可 ～快乐。 ?
Cmdr_29,你真的打电话来祝我节日快乐了...还好吗 有没有好好吃饭 是要祝我节日快乐吗节日快乐嗯对不起........... ?
CoC冯笙o,生日快乐
cool小拉,讲评试卷，气绝了，快到暑假，撑不下去了 ?
cool小拉,讲评试卷，气绝了，快到暑假，撑不下去了 ?
cranberry_琳,今天不知道吃了什么肚子疼，还有种想吐的感觉。人的身体过了20真的感觉下了一个台阶，忽然想起很多年前某个人说的话，经历苦难是为了让你知道下次能撑多久，对，要撑下去 ?
CrushOnYouJustYou,? 码：这周天天向上快乐大本营会/员有没有按天卖的总感觉和几个月就要用那么一次 ?
Culaccino_阿了,studywithme好累，真的要撑不下去了我好想放假啊 ?
Curly-Fool,名侦探柯南每次刷到这集心疼死了真的看不下去了，柯南你这么重的感冒? 那么难受还在强撑推理你会不会照顾自己嘛！小兰也真是的，一开始不关心你一下好想一直抱着你沉重的身体这样你就不用站着难受以至晕倒在地啦 ?  展开全文c
Curly-Fool,名侦探柯南每次刷到这集心疼死了真的看不下去了，柯南你这么重的感冒? 那么难受还在强撑推理你会不会照顾自己嘛！小兰也真是的，一开始不关心你一下好想一直抱着你沉重的身体这样你就不用站着难受以至晕倒在地啦 ?  展开全文c
Cy_Tuzki_D,加完班才发现6月已经翻篇。每年的祝福日常。@林宥嘉YogaLin 生日快乐? ?  ?
Cynthia0701,半夜惊醒，真的是撑的。。。感恩一切的发生。七月快乐。 ?
C曹庆Q,减肥打卡第一天，好饿啊，啃了几个水果+两个火腿，期待明天的到来，就可以吃东西了，预感一个月 估计 可能 撑不下去啊！！！！ ?
C曹庆Q,减肥打卡第一天，好饿啊，啃了几个水果+两个火腿，期待明天的到来，就可以吃东西了，预感一个月 估计 可能 撑不下去啊！！！！ ?
Dawn_withJS,清醒一点！！//@回忆专用小马甲:想要快乐? ? //@花泽美美:好好赚钱！别想有的没的? //@M大王叫我来巡山:想要的都拥有，得不到的都释怀//@苍南派:快乐工作快乐生活//@雨玲玲zjl:愿自己的努力不负自己的期望//@ali_thin:求你减肥//@Tiger公子:别再生病了
Deadend0714,抑郁症 我撑不下去了 ?
DeephugTY,#林宥嘉0701生日快乐#
Deja_Vu郑因成中文站,郑因成??#郑因成0701生日快乐# 190701 官推更新[熙俊] 我们可爱的因成生日快乐?  ?
Deo丶Sunshine,虽然房价都是五六万甚至十几万一平，但它的物质生活并不会高的吓人，一两块钱的包子油条，很平价的水果蔬菜，这大概就是这座城市吸引人的的地方，让你身在其中，不得不拼，但当你感觉撑不下去时，它也会展现出它极大的包容，安抚你疲惫的身躯，让你有了坚持的动力，告诉你其实每个人都不容易，不要轻言 ?  展开全文c
devasu,在买宠物用品的时候，我们都是希望能让宠物更加快乐舒适。但有些宠物用品的隐患，反而会导致爱宠出现生命危险…… ????
dis_away,感觉要撑不下去了其实想想，现在舒服点，以后找个简单的工作，钱多钱少无所谓，下了班宅家里玩玩手机看看剧，过个两年将就一下，找个喜欢我的人嫁了就行但是现在努力一点，不就是学习吗，这都搞不定，以后可就真的要将就一辈子了，还不如早点死了可能现在放弃的人也有，所以我要比他们坚持的久。 ?  展开全文c
Diver葉,转发微博
Dl8whyy,不想再拥有那么多墙头，想要平常但是持续的追星。也不想要社交，有时候跟不同的人说话面孔太多我不知道该怎么撑下去。我原以为我的父母是我身边父母中top前五的很开明的那种父母，可是我现在每天要被迫发现他们也免不了俗套于是开始质疑自己。我很害怕被坏情绪和自我厌恶缠上身，我宁愿做一个很勇敢 ?  展开全文c
Dl8whyy,不想再拥有那么多墙头，想要平常但是持续的追星。也不想要社交，有时候跟不同的人说话面孔太多我不知道该怎么撑下去。我原以为我的父母是我身边父母中top前五的很开明的那种父母，可是我现在每天要被迫发现他们也免不了俗套于是开始质疑自己。我很害怕被坏情绪和自我厌恶缠上身，我宁愿做一个很勇敢 ?  展开全文c
EachOfYou,同时期的其他人都结婚了但她也分开了她说这两天充实地像过了半年甚至不想离开我们知道自己撑不下去我笑她这只是开始。这几天过得痴痴醉醉上次好好在一起已经过去5年了那年我们大一，一切都刚开始聊的是初中在一起上学时的趣事现在的我们放下所有骄傲带着一身疲惫一个个好姑娘在感情的路上跌 ?  展开全文c
EachOfYou,同时期的其他人都结婚了但她也分开了她说这两天充实地像过了半年甚至不想离开我们知道自己撑不下去我笑她这只是开始。这几天过得痴痴醉醉上次好好在一起已经过去5年了那年我们大一，一切都刚开始聊的是初中在一起上学时的趣事现在的我们放下所有骄傲带着一身疲惫一个个好姑娘在感情的路上跌 ?  展开全文c
EastHY_1216,利特 #朴正洙0701生日快乐#   ? HAPPYLEETEUKDAY ? 生日快乐 我们永远的队长哥哥  感谢你带着suju走到了今天 感谢你的爱与包容 善良与柔软  你说 直到宝蓝海覆盖全世界 suju将不会停止前进的步伐 我相信你 我们相信你  所以啊 未来也一起走吧 长长久久地  亲爱的朴正洙 生日快乐 ?
EdwardFun520,人生哎，真的是一场游戏。每名玩家开局抽个大礼包，有的人抽到金币，有的人直接抽到999满级。段位低的时候需要大神带飞，段位不断提高打怪的难度也随之增加，升级之路有的人凭技术，有的人靠充值。少数玩家撑不下去了就会或早或晚的选择离开，不过对于整个游戏而言，什么时候退出都为时尚早，不是么？ ?  展开全文c
EdwardFun520,人生哎，真的是一场游戏。每名玩家开局抽个大礼包，有的人抽到金币，有的人直接抽到999满级。段位低的时候需要大神带飞，段位不断提高打怪的难度也随之增加，升级之路有的人凭技术，有的人靠充值。少数玩家撑不下去了就会或早或晚的选择离开，不过对于整个游戏而言，什么时候退出都为时尚早，不是么？ ?  展开全文c
EGG刘昕妍,时间真快下半年我们继续
elf_yy,利特 happy leeteuk day? 生日快樂世上最好的隊長?  ?
EliAuk0,年年平安岁岁有我生日快乐?  ?
ELLA不是咸鱼,生日快乐啊特哥
ELLA不是咸鱼,帅哥都是一天生日吗？ 生日快乐啊
Elvira潘朵拉,从小就有人不断的告诉我们，你要坚强，女孩子也要自强自立，为什么没有人告诉我撑不下去的时候不要再撑，忙到看病都没时间的人，工作再努力也是个loser ?
Elvira潘朵拉,从小就有人不断的告诉我们，你要坚强，女孩子也要自强自立，为什么没有人告诉我撑不下去的时候不要再撑，忙到看病都没时间的人，工作再努力也是个loser ?
encounter晨曦,#zxc668# 杨浩摇头道：“一鼓作气？攻城之战，哪有三天五天，十天半月打得下来的？何况连番大战之下，咱们的兵也不是铁打的，哪有不累不乏的。再者说，刚刚招纳了这么多的降兵，扩张了这么大的地盘，这么大的一块肥肉吞下去，总得等它稳稳妥妥地化作自己腹中的食物才好，想要一口吃成个胖子，还不被撑? ?
encounter晨曦,#zxc668# 杨浩摇头道：“一鼓作气？攻城之战，哪有三天五天，十天半月打得下来的？何况连番大战之下，咱们的兵也不是铁打的，哪有不累不乏的。再者说，刚刚招纳了这么多的降兵，扩张了这么大的地盘，这么大的一块肥肉吞下去，总得等它稳稳妥妥地化作自己腹中的食物才好，想要一口吃成个胖子，还不被撑? ?
Ephemeraaa,“我…所见过的人们 全都是一样的 要么是酒、要么是女人、要么是神 、家族 、王、 梦想、 子女 、力量。人如果不沉醉于某些东西，估计都撑不下去的吧…所有人都是某些事物的奴隶，你又沉醉于什么？英雄吗？”我知道自己问题出在哪了，想了半天，真的没有可以沉迷的事物，做什么都不上瘾，现在实现的 ?  展开全文c
ERGN_humb,7.1生日快乐bro ?
Erika-TS,//@浅光ShallowBlue:希真姐评论：特儿生日快乐?  查看图片
Ewailen,//@我可以睡您吗:那个消防员撕心裂肺的哭声我也还记得。//@努力成为有猫阶级:我一直记得这个女孩，跳楼前对消防员说谢谢，可是她真的是撑不下去了，在她苦苦挣扎的那段黑暗时光里，根本等不到一句“抓了”……
Ewailen,//@我可以睡您吗:那个消防员撕心裂肺的哭声我也还记得。//@努力成为有猫阶级:我一直记得这个女孩，跳楼前对消防员说谢谢，可是她真的是撑不下去了，在她苦苦挣扎的那段黑暗时光里，根本等不到一句“抓了”……
falltopieces,不换手机的理由：重新安装各种APP实在太痛苦了，压根不记得各种密码，比如微博换手机的理由，太多了，都不值一提，最近有了一个值得一提的：我都不敢重新安装爱奇艺看乐队的夏天，怕存储满了手机死机虽然值得一提，但我还是决定再撑下去 ?
Fantastcy,? 第五年都32岁的人了 怎么还是18岁的脸！！！@安宰贤0701 #安宰贤0701生日快乐# ?
Fay我是费依,这个陈情令还是孟情令的，我现在坚持看到第三集了，然后不打算看了。啥玩意了，薛洋什么鬼，夷陵老祖不是修鬼道操纵死人的开山鼻祖么，干嘛给薛洋加戏？？？？蓝氏双璧怎么都那么丑？？？？蓝曦臣就是个素人样，蓝忘机两眼无神一副没睡醒的样子要不是配音撑着，这谁看得下去，哪里像“仙家”了……云梦 ?  展开全文c
Fay我是费依,这个陈情令还是孟情令的，我现在坚持看到第三集了，然后不打算看了。啥玩意了，薛洋什么鬼，夷陵老祖不是修鬼道操纵死人的开山鼻祖么，干嘛给薛洋加戏？？？？蓝氏双璧怎么都那么丑？？？？蓝曦臣就是个素人样，蓝忘机两眼无神一副没睡醒的样子要不是配音撑着，这谁看得下去，哪里像“仙家”了……云梦 ?  展开全文c
feminine比基尼462,！！//@R1SE-姚琛:R1SE ? ? ? ? ? ?    入住新家快乐～  10年 20年 30年……R1SE?Family  ? Together Forever ?  ? ? ?
